Vendedor,ID,Title,Price,Currency,Category URL,Details URL,partner-name,Date,timestamp,image_url,breadcumb
600,160570379,Combo croissant con bacon,120.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:33,,TOP VENTAS
600,160570378,Combo croissant,115.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:34,,TOP VENTAS
600,160570373,Combo 3 facturas,115.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:34,,Desayunos BK
600,160570375,Combo tostado de jamón y queso,90.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:34,,Desayunos BK
600,160570376,Combo muffin chips chocolate,100.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:34,,Desayunos BK
600,160570378,Combo croissant,115.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:34,,Desayunos BK
600,160570379,Combo croissant con bacon,120.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:34,,Desayunos BK
600,160570381,Combo muffin de dulce de leche,100.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,,Glovo,2019-10-13,2019-10-13 05:55:34,,Desayunos BK
Vendedor,ID,Title,Price,Currency,Category URL,Details URL,partner-name,Date,timestamp,image_url,breadcumb
600,160570379,Combo croissant con bacon,120.0,ARS,Bue/burger-king-desayunos-buenos-aires/600/Burger*King*Desayunos*/SNACKS_LATAM/45234/88759,"https://res.cloudinary.com/glovoapp/w_340,h_170,c_fit,f_auto,q_auto/Products/z3tmzul4aoudg36g8wjt",Glovo,2019-10-13,2019-10-13 06:00:32,"https://res.cloudinary.com/glovoapp/w_340,h_170,c_fit,f_auto,q_auto/Products/z3tmzul4aoudg36g8wjt",TOP VENTAS
